# paso_L0	Cd	Cl	mismatch
41000	1.40335	-0.14013	0.00000
41100	1.41242	-0.27291	0.00000
41200	1.42618	-0.39395	0.00000
41300	1.45652	-0.49754	0.00000
41400	1.47655	-0.58123	0.00000
41500	1.50366	-0.62962	0.00000
41600	1.51980	-0.65521	0.00000
41700	1.52439	-0.65886	0.00000
41800	1.52937	-0.62537	0.00000
41900	1.52219	-0.56953	0.00000
42000	1.51318	-0.49384	0.00000
42100	1.48298	-0.39683	0.00000
42200	1.46168	-0.28687	0.00000
42300	1.43587	-0.15907	0.00000
42400	1.41420	-0.02094	0.00000
42500	1.39528	0.12149	0.00000
42600	1.38544	0.26442	0.00000
42700	1.38418	0.40614	0.00000
42800	1.38270	0.52587	0.00000
42900	1.39761	0.63162	0.00000
43000	1.40627	0.71328	0.00000
43100	1.42920	0.77883	0.00000
43200	1.44671	0.80680	0.00000
43300	1.44764	0.80044	0.00000
43400	1.45437	0.77828	0.00000
43500	1.45596	0.72751	0.00000
43600	1.44739	0.65079	0.00000
43700	1.43540	0.54961	0.00000
43800	1.42541	0.43846	0.00000
43900	1.41432	0.30831	0.00000
44000	1.40171	0.17221	0.00000
44100	1.39742	0.03314	0.00000
44200	1.39999	-0.11670	0.00000
44300	1.41902	-0.25390	0.00000
44400	1.43730	-0.37584	0.00000
44500	1.45426	-0.48369	0.00000
44600	1.47104	-0.56959	0.00000
44700	1.49857	-0.62846	0.00000
44800	1.51649	-0.66011	0.00000
44900	1.52925	-0.65886	0.00000
45000	1.53275	-0.63574	0.00000
45100	1.52600	-0.58713	0.00000
45200	1.50679	-0.51175	0.00000
45300	1.49189	-0.42056	0.00000
45400	1.46680	-0.30243	0.00000
45500	1.44028	-0.18210	0.00000
45600	1.41338	-0.04084	0.00000
45700	1.39783	0.10150	0.00000
45800	1.38044	0.24237	0.00000
45900	1.37796	0.37806	0.00000
46000	1.38493	0.50351	0.00000
46100	1.39658	0.61755	0.00000
46200	1.40782	0.70571	0.00000
46300	1.42988	0.77174	0.00000
46400	1.43956	0.80426	0.00000
46500	1.44831	0.80649	0.00000
46600	1.45625	0.78367	0.00000
46700	1.45533	0.73668	0.00000
46800	1.44919	0.66533	0.00000
46900	1.44067	0.56707	0.00000
47000	1.43178	0.45403	0.00000
47100	1.41282	0.33096	0.00000
47200	1.40401	0.19392	0.00000
47300	1.39929	0.05441	0.00000
47400	1.40566	-0.09034	0.00000
47500	1.41166	-0.22597	0.00000
47600	1.42613	-0.35421	0.00000
47700	1.45013	-0.46618	0.00000
47800	1.47658	-0.55724	0.00000
47900	1.49920	-0.61972	0.00000
48000	1.51359	-0.65376	0.00000
48100	1.52872	-0.66350	0.00000
48200	1.53081	-0.63614	0.00000
48300	1.52608	-0.59702	0.00000
48400	1.51650	-0.52372	0.00000
48500	1.49299	-0.43423	0.00000
48600	1.46971	-0.31831	0.00000
48700	1.44230	-0.20239	0.00000
48800	1.42011	-0.06551	0.00000
48900	1.40091	0.07713	0.00000
49000	1.38282	0.22235	0.00000
49100	1.38240	0.35473	0.00000
49200	1.38450	0.48930	0.00000
49300	1.38736	0.60166	0.00000
49400	1.40456	0.68948	0.00000
49500	1.42222	0.76017	0.00000
49600	1.43707	0.80394	0.00000
49700	1.44640	0.81063	0.00000
49800	1.45304	0.79068	0.00000
49900	1.45968	0.74867	0.00000
50000	1.44909	0.67567	0.00000
50100	1.44176	0.58082	0.00000
50200	1.43342	0.47466	0.00000
50300	1.41966	0.34967	0.00000
50400	1.40756	0.21353	0.00000
50500	1.40598	0.07319	0.00000
50600	1.40110	-0.06567	0.00000
50700	1.41048	-0.21068	0.00000
50800	1.42658	-0.33886	0.00000
50900	1.44879	-0.44760	0.00000
51000	1.46667	-0.54436	0.00000
51100	1.49649	-0.61052	0.00000
51200	1.50413	-0.65273	0.00000
51300	1.52754	-0.66177	0.00000
51400	1.52985	-0.64831	0.00000
51500	1.52564	-0.60233	0.00000
51600	1.51613	-0.53443	0.00000
51700	1.49672	-0.44333	0.00000
51800	1.47673	-0.33994	0.00000
51900	1.44859	-0.21627	0.00000
52000	1.42762	-0.08608	0.00000
52100	1.40416	0.05177	0.00000
52200	1.39030	0.19533	0.00000
52300	1.38418	0.32906	0.00000
52400	1.38008	0.47173	0.00000
52500	1.39033	0.58389	0.00000
52600	1.40396	0.68658	0.00000
52700	1.41850	0.75029	0.00000
52800	1.43728	0.79492	0.00000
52900	1.44981	0.81239	0.00000
53000	1.45539	0.80086	0.00000
53100	1.45410	0.75499	0.00000
53200	1.45082	0.69063	0.00000
53300	1.44645	0.60346	0.00000
53400	1.43197	0.49348	0.00000
53500	1.42099	0.37271	0.00000
53600	1.40472	0.24190	0.00000
53700	1.40287	0.09766	0.00000
53800	1.40130	-0.04657	0.00000
53900	1.40804	-0.19035	0.00000
54000	1.42169	-0.31651	0.00000
54100	1.44133	-0.43172	0.00000
54200	1.45987	-0.53251	0.00000
54300	1.48716	-0.60249	0.00000
54400	1.51125	-0.64609	0.00000
54500	1.52434	-0.66049	0.00000
54600	1.52869	-0.64710	0.00000
54700	1.52669	-0.61008	0.00000
54800	1.51998	-0.54817	0.00000
54900	1.50130	-0.46216	0.00000
55000	1.47563	-0.36007	0.00000
55100	1.44956	-0.24470	0.00000
55200	1.42933	-0.11039	0.00000
55300	1.40745	0.02981	0.00000
55400	1.38545	0.17709	0.00000
55500	1.37855	0.31241	0.00000
55600	1.37982	0.44770	0.00000
55700	1.39077	0.56415	0.00000
55800	1.39772	0.66689	0.00000
55900	1.41847	0.74359	0.00000
56000	1.43181	0.78748	0.00000
56100	1.45037	0.80969	0.00000
56200	1.45394	0.79940	0.00000
56300	1.45526	0.76243	0.00000
56400	1.45551	0.69840	0.00000
56500	1.44535	0.61883	0.00000
56600	1.43313	0.51476	0.00000
56700	1.41582	0.39328	0.00000
56800	1.41076	0.26416	0.00000
56900	1.40275	0.12235	0.00000
57000	1.40461	-0.02198	0.00000
57100	1.41282	-0.16535	0.00000
57200	1.42031	-0.29585	0.00000
57300	1.43554	-0.41201	0.00000
57400	1.45966	-0.51387	0.00000
57500	1.48320	-0.59135	0.00000
57600	1.50855	-0.64232	0.00000
57700	1.52036	-0.65866	0.00000
